Chapter in Aseneth,AFINN Score of Chapter,Word Count,AFINN Score per Word
1,30.0,374,0.08021390374331551,
2,41.0,472,0.08686440677966102,
3,19.0,297,0.06397306397306397,
4,20.0,495,0.04040404040404041,
5,5.0,273,0.018315018315018316,
6,-17.0,249,-0.06827309236947791,
7,-2.0,352,-0.005681818181818182,
8,15.0,336,0.044642857142857144,
9,4.0,178,0.02247191011235955,
10,-29.0,562,-0.051601423487544484,
11,0.0,38,0.0,
12,2.0,22,0.09090909090909091,
13,-2.0,356,-0.0056179775280898875,
14,34.0,497,0.06841046277665996,
15,42.0,520,0.08076923076923077,
16,12.0,496,0.024193548387096774,
17,4.0,229,0.017467248908296942,
18,10.0,204,0.049019607843137254,
19,5.0,93,0.053763440860215055,
20,8.0,249,0.0321285140562249,
21,13.0,223,0.05829596412556054,
22,5.0,245,0.02040816326530612,
23,-7.0,575,-0.01217391304347826,
24,-17.0,682,-0.024926686217008796,
25,-11.0,271,-0.04059040590405904,
26,-19.0,271,-0.07011070110701106,
27,-17.0,321,-0.0529595015576324,
28,-28.0,440,-0.06363636363636363,
29,-20.0,311,-0.06430868167202572,
